Lat,Lon,OBJECTID,name,id,agency
34.25328564,-84.48798403,11609,Oakside Apts. @ Cul-de-Sac Shelter,1082631,Cherokee Area Transportation System (CATS)
34.24842,-84.478534,11635,Starbucks @ Riverstone,1082654,Cherokee Area Transportation System (CATS)
34.23664923,-84.48978879,11645,East Marietta St & Main St,1082644,Cherokee Area Transportation System (CATS)
34.19330473,-84.49306107,11670,Health Department,1082617,Cherokee Area Transportation System (CATS)
34.25146157,-84.47746806,11682,Bealls,1082649,Cherokee Area Transportation System (CATS)
34.2520503,-84.49127402,11683,Oakside Apts. @ Hilltop,1082632,Cherokee Area Transportation System (CATS)
34.24599297,-84.49038427,11686,Northside Hospital - Cherokee,1082633,Cherokee Area Transportation System (CATS)
34.24000453,-84.47126631,11690,Hasty Elementary,1082610,Cherokee Area Transportation System (CATS)
34.221438,-84.46840065,11719,Hillcrest Subdivision,1082641,Cherokee Area Transportation System (CATS)
34.25416504,-84.4790615,11725,Riverstone Medical,1082648,Cherokee Area Transportation System (CATS)
34.19281421,-84.50732836,11730,Kroger (Canton Kroger Shopping Center),1082616,Cherokee Area Transportation System (CATS)
34.25611489,-84.46154645,11759,Walmart (Transfer for both Routes),1082611,Cherokee Area Transportation System (CATS)
33.7719,-84.391883,10768,Techwood Dr. & North Ave.,techwood_northav_nb,Georgia Tech Trolley & Stinger Shuttles
33.77507383,-84.40245115,10785,Recreation Center,crc_nb,Georgia Tech Trolley & Stinger Shuttles
33.78072772,-84.38885531,10817,Publix (Midtown),publix,Georgia Tech Trolley & Stinger Shuttles
33.799094,-84.36729327,10828,Piedmont Rd./Morningside Dr.,piedmont_morning_eb,Georgia Tech Trolley & Stinger Shuttles
33.7971908,-84.350023,10836,Johnson Rd./Rock Springs Dr.,rock_johnson_wb,Georgia Tech Trolley & Stinger Shuttles
33.77698333,-84.38965,10853,Technology Square,techsq_wb,Georgia Tech Trolley & Stinger Shuttles
33.80375656,-84.33362961,10909,Wesley Woods,wesley_woods_sb,Georgia Tech Trolley & Stinger Shuttles
33.776858,-84.393905,10912,Ferst Dr. & Fowler SW,fowler_n_5th_eb,Georgia Tech Trolley & Stinger Shuttles
33.77840117,-84.39951896,10965,Ferst Dr./State St. NW,ferst_state_wb,Georgia Tech Trolley & Stinger Shuttles
33.77701667,-84.39408333,10970,5th St. & Fowler NW,fowler_n_5th_wb,Georgia Tech Trolley & Stinger Shuttles
33.77407412,-84.39186153,10976,Techwood Dr. NW/3rd St.,techwood_n_3rd_nb,Georgia Tech Trolley & Stinger Shuttles
33.77833333,-84.3981,10997,Ferst Dr./ Atlantic Dr. NE,ferst_atlantic_wb,Georgia Tech Trolley & Stinger Shuttles
33.77683333,-84.3918,11028,5th St. & Techwood,techwood_n_5th_eb,Georgia Tech Trolley & Stinger Shuttles
33.77506667,-84.39186667,11060,Techwood Dr. & 4th St. NW,techwood_n_4th_nb,Georgia Tech Trolley & Stinger Shuttles
33.77322369,-84.39953644,11061,Tech Pkwy/ State St. (Student Center),techpkwy_state_wb,Georgia Tech Trolley & Stinger Shuttles
33.77812983,-84.3975477,11082,Ferst Dr./ Atlantic Dr.,ferst_atlantic_eb,Georgia Tech Trolley & Stinger Shuttles
33.78039259,-84.3993131,11104,Baker Bldg (GTRI) W,baker_sb,Georgia Tech Trolley & Stinger Shuttles
33.77822208,-84.40411667,11126,Fitten Hall,fitten_a,Georgia Tech Trolley & Stinger Shuttles
33.80375656,-84.33362961,11131,Wesley Woods,wesley_woods_nb,Georgia Tech Trolley & Stinger Shuttles
33.78637716,-84.40535865,11139,575 14th Street S,14th_575,Georgia Tech Trolley & Stinger Shuttles
33.77698333,-84.39168333,11141,5th St. & Techwood,techwood_n_5th_wb,Georgia Tech Trolley & Stinger Shuttles
33.7970451,-84.32200168,11159,Clifton & Gatewood,clifton_gatewood_nb,Georgia Tech Trolley & Stinger Shuttles
33.79131797,-84.39798117,11207,Publix (Atlantic Station),publix_atl_stn,Georgia Tech Trolley & Stinger Shuttles
33.77328702,-84.39911079,11239,Student Center,studcentr_eb,Georgia Tech Trolley & Stinger Shuttles
33.77756463,-84.39551032,11243,Klaus (Ferst Dr./Cherry St. N),ferst_cherry_wb,Georgia Tech Trolley & Stinger Shuttles
33.7996646,-84.36746493,11252,Morningside Dr./Piedmont Rd.,piedmont_morning_wb,Georgia Tech Trolley & Stinger Shuttles
33.775089,-84.402679,11254,Recreation Center W,crc_sb,Georgia Tech Trolley & Stinger Shuttles
33.78164594,-84.39594306,11275,GLC S,glc,Georgia Tech Trolley & Stinger Shuttles
33.77830044,-84.40166647,11314,Ferst Dr./ Hemphill Ave.,ferst_hh_wb,Georgia Tech Trolley & Stinger Shuttles
33.77818416,-84.39939418,11326,Ferst Dr./State St. NW,ferst_state_eb,Georgia Tech Trolley & Stinger Shuttles
33.784665,-84.405937,11345,Hemphill Av. / Curran St. E,hempcurr,Georgia Tech Trolley & Stinger Shuttles
33.776987,-84.39368427,11378,Ferst Dr. & Fowler,fowler_n_5th_sb,Georgia Tech Trolley & Stinger Shuttles
33.77954415,-84.40406187,11382,McMillian St./8th St.,mcm8th,Georgia Tech Trolley & Stinger Shuttles
33.77733246,-84.39568198,11388,Klaus (Ferst Dr./Cherry St. S),ferst_cherry_eb,Georgia Tech Trolley & Stinger Shuttles
33.79718331,-84.32264618,11395,Clifton & Gatewood,clifton_gatewood_sb,Georgia Tech Trolley & Stinger Shuttles
33.79427928,-84.31703478,11411,Andrews Circle (HSRB),andrews_circle,Georgia Tech Trolley & Stinger Shuttles
33.7728869,-84.39903796,11417,Tech Pkwy/ State St. (Wells Fargo),techpkwy_state_eb,Georgia Tech Trolley & Stinger Shuttles
33.776773,-84.387784,11448,GT Coll. Of Mgt.,scheller,Georgia Tech Trolley & Stinger Shuttles
33.77954182,-84.40280958,11456,8th St./ Hemphill Ave,8thhemp,Georgia Tech Trolley & Stinger Shuttles
33.79701248,-84.34970114,11457,Rock Springs Dr./Johnson Rd.,rock_johnson_eb,Georgia Tech Trolley & Stinger Shuttles
33.76874777,-84.40223683,11481,TEP,tep,Georgia Tech Trolley & Stinger Shuttles
33.7766709,-84.39219292,11484,Techwood Dr. & 5th St. NW,techwood_n_5th_sb,Georgia Tech Trolley & Stinger Shuttles
33.77228451,-84.39538198,11487,Cherry St./ Ferst Dr. SW,ferstcher,Georgia Tech Trolley & Stinger Shuttles
33.77496667,-84.39206667,11492,Techwood Dr. & 4th St. NW,techwood_n_4th_sb,Georgia Tech Trolley & Stinger Shuttles
33.78084224,-84.3863477,11493,MARTA Midtown (Peachtree Place),midtownmarta_pch,Georgia Tech Trolley & Stinger Shuttles
33.77132729,-84.39478196,11497,North Ave. & President?s Lot,na_presidents,Georgia Tech Trolley & Stinger Shuttles
33.77678858,-84.39357966,11521,5th St. & Fowler,fowler_n_5th_nb,Georgia Tech Trolley & Stinger Shuttles
33.77217064,-84.39663872,11546,Tech Pkwy & Aerospace,techpkwy_aero,Georgia Tech Trolley & Stinger Shuttles
33.7803306,-84.39898762,11559,Baker Bldg (North Deck),baker_nb,Georgia Tech Trolley & Stinger Shuttles
33.77855,-84.38723333,11567,Academy of Medicine,academy_of_medicine,Georgia Tech Trolley & Stinger Shuttles
33.77837208,-84.40093333,11590,Ferst Dr./ Hemphill Ave. SE,ferst_hh_eb,Georgia Tech Trolley & Stinger Shuttles
33.77408303,-84.39210829,11596,Techwood Dr. NW/Bobby Dodd Way NW,techwood_n_dodd_sb,Georgia Tech Trolley & Stinger Shuttles
33.77347047,-84.39908657,11652,Student Center,studcentr_wb,Georgia Tech Trolley & Stinger Shuttles
33.7751978,-84.39629254,11660,Clough Turnaround,clough,Georgia Tech Trolley & Stinger Shuttles
33.77225775,-84.39566093,11703,Cherry St./ Ferst Dr. SW,cherfers,Georgia Tech Trolley & Stinger Shuttles
33.78625525,-84.39554808,11707,GCATT/GTRI,14th_GTRI,Georgia Tech Trolley & Stinger Shuttles
33.78165275,-84.40414737,11723,10th / Hemphill Av. N,10thhemp,Georgia Tech Trolley & Stinger Shuttles
33.77147676,-84.392133,11882,Techwood Dr. & North Ave.,techwood_northav_sb,Georgia Tech Trolley & Stinger Shuttles
33.770766,-84.403378,11939,NARA,nara,Georgia Tech Trolley & Stinger Shuttles
33.77005825,-84.39157736,11943,North Avenue Apartments(NAA),nortavea,Georgia Tech Trolley & Stinger Shuttles
33.77129274,-84.39400747,12006,North Ave. & Burge Deck,na_burge,Georgia Tech Trolley & Stinger Shuttles
33.79276027,-84.32177405,12076,Woodruff Memorial,woodruff,Georgia Tech Trolley & Stinger Shuttles
33.7860505,-84.39887652,12096,14th St. / State St. S,14th_state,Georgia Tech Trolley & Stinger Shuttles
33.77303011,-84.3973261,12151,Transit Hub,transithub,Georgia Tech Trolley & Stinger Shuttles
33.77668333,-84.39198333,12253,Techwood Dr. & 5th St. NW,techwood_n_5th_nb,Georgia Tech Trolley & Stinger Shuttles
33.7768,-84.38978333,12375,Technology Square,techsq_eb,Georgia Tech Trolley & Stinger Shuttles
33.78132957,-84.38637547,12681,MARTA Midtown,midtownmarta_10th,Georgia Tech Trolley & Stinger Shuttles
34.06858436,-84.16255302,10769,JC Pkwy @ Johns Creek Ct (S),6918,GRTA Xpress
33.75414144,-84.39211849,10781,Forsyth St @ Five Points MARTA Station (northbound),6885,GRTA Xpress
34.08156313,-84.54175433,10792,Woodstock P&R (His Hands Church),6976,GRTA Xpress
33.57798998,-84.38859118,10808,Southern Regional Hospital (N),6978,GRTA Xpress
33.74833158,-84.38862203,10814,Mitchell St @ Coverdell Legislative Office Bldg,6893,GRTA Xpress
33.74898695,-84.39000514,10816,Mitchell St @ Washington St,6892,GRTA Xpress
33.7022874,-84.17324859,10826,Panola Rd P&R,6948,GRTA Xpress
34.18127568,-84.14280653,10835,Cumming P&R,6913,GRTA Xpress
34.06322763,-84.16456426,10851,JC Pkwy @ E Johns Crossing (N),6921,GRTA Xpress
