origin_place_id,destination_place_id,duration_text,duration_value,distance_text,distance_value
ChIJLW0X3sl09YgRkgcpZGE0KzE,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 51 mins,6666,25.9 mi,41671
ChIJM0mLkst09YgREGddryPgnN0,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 6 mins,7563,26.1 mi,42019
ChIJM6SapPF09YgR2rpKILS8re0,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 10 mins,7779,28.7 mi,46129
ChIJMTHLfct09YgRfn6DcfSHP70,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 3 mins,7359,25.8 mi,41467
ChIJn-riP8109YgRxWtKzrpmvDE,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJozDXFmp19YgRLWYW9HVVxPU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 54 mins,6835,33.6 mi,54097
ChIJq-enVcp09YgRkwiM3M36MDQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 4 mins,7429,25.8 mi,41556
ChIJqy3ke4V19YgRJsLbTVG6xfE,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 7 mins,7641,32.6 mi,52503
ChIJu8rplSZ19YgRp_yii3fhMJo,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 46 mins,6388,27.5 mi,44325
ChIJuS4zmk109YgR3kB_eZ-ym2c,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 37 mins,9406,32.2 mi,51824
ChIJYZAGCDUL9YgRejrgxEBW_SA,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 6 mins,7562,25.9 mi,41641
ChIJYZAGCDUL9YgRJ2IyA4Yh8OA,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 6 mins,7562,25.9 mi,41641
ChIJzWCCU5519YgR2cPQTK56te0,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 9 mins,7755,34.3 mi,55274
ChIJ245QrLSp9YgR4weyIAYOZ64,ChIJyRb7_u-n9YgRaFRK94xpvAo,34 mins,2019,5.6 mi,9002
ChIJ5-AHvGCo9YgRV8ObJqm_e60,ChIJyRb7_u-n9YgRaFRK94xpvAo,56 mins,3333,5.6 mi,8957
ChIJafeYIVyo9YgRozwmlML3ZE4,ChIJyRb7_u-n9YgRaFRK94xpvAo,34 mins,2011,4.8 mi,7663
ChIJCRcfHkGo9YgRjUQ7FrXZiY8,ChIJyRb7_u-n9YgRaFRK94xpvAo,19 mins,1127,3.7 mi,5987
ChIJcTTgrGOo9YgR31qyG8hBk7M,ChIJyRb7_u-n9YgRaFRK94xpvAo,56 mins,3355,5.6 mi,8992
ChIJFekbDIqo9YgRvu8uChNGn-A,ChIJyRb7_u-n9YgRaFRK94xpvAo,52 mins,3137,5.4 mi,8727
ChIJG3D-QVOo9YgRJcXHXTfFmMc,ChIJyRb7_u-n9YgRaFRK94xpvAo,30 mins,1773,5.3 mi,8586
ChIJGbRm-Eyo9YgRyQcdKJa5f4A,ChIJyRb7_u-n9YgRaFRK94xpvAo,32 mins,1918,5.1 mi,8256
ChIJh0vgdEuo9YgR7BFDw5-drwY,ChIJyRb7_u-n9YgRaFRK94xpvAo,37 mins,2237,5.2 mi,8392
ChIJk3pfBFWo9YgR8CjpnqL0Jns,ChIJyRb7_u-n9YgRaFRK94xpvAo,37 mins,2246,5.9 mi,9427
ChIJK5uMUkuo9YgRIGWro3TJh78,ChIJyRb7_u-n9YgRaFRK94xpvAo,34 mins,2060,5.6 mi,9062
ChIJLZv5mkCo9YgRY7EvmFPoS8I,ChIJyRb7_u-n9YgRaFRK94xpvAo,24 mins,1453,4.0 mi,6392
ChIJn48fS0Ko9YgRHy01615SIbI,ChIJyRb7_u-n9YgRaFRK94xpvAo,21 mins,1277,3.8 mi,6168
ChIJQWHiKjao9YgR5xBigaQlE0c,ChIJyRb7_u-n9YgRaFRK94xpvAo,30 mins,1786,5.0 mi,8005
ChIJQwol72eo9YgRtFX2_nxi7Ho,ChIJyRb7_u-n9YgRaFRK94xpvAo,56 mins,3375,5.6 mi,9039
ChIJrRraVLSp9YgRHbgd9w9AcnE,ChIJyRb7_u-n9YgRaFRK94xpvAo,46 mins,2751,7.0 mi,11256
ChIJRZ6AvIqo9YgRRuaMWUxbeuc,ChIJyRb7_u-n9YgRaFRK94xpvAo,52 mins,3136,5.7 mi,9132
ChIJT6uHsEKo9YgRGBAibzsZ8RA,ChIJyRb7_u-n9YgRaFRK94xpvAo,45 mins,2709,5.1 mi,8169
ChIJYf0f_1yo9YgRNLYDnxPNTzg,ChIJyRb7_u-n9YgRaFRK94xpvAo,32 mins,1891,4.7 mi,7503
ChIJYy3nY0ao9YgRVUwmYft5JdM,ChIJyRb7_u-n9YgRaFRK94xpvAo,25 mins,1498,4.5 mi,7178
ChIJ6ZTOM42f9YgRsb1LLugBOdI,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
